Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,5226.13965233312,5335.57879898518,4922.45721730488,4645.89357206881,4194.8810953782,3849.89723219723,4043.74990337195,4601.50308515664,5066.94283398841,5337.01584071637,5801.75812617707,6244.74774348393,6704.59228079556,7369.84590437492,8491.89483353234,9647.12117983096,11006.4559016421,12332.5029152685,13898.9996761756,14050.5715546692,15361.8316988786,16563.2014078209,18105.2867180444,18994.1901887616,19007.9973242876,18095.7034185545,17785.9431970966,18356.0660575514,19430.9092097721,20106.0689126376,20317.231920485,21928.6857574651
Belize,4460.73621604894,5047.70323544695,5702.91908786707,6072.68153499041,6068.63737687779,6083.62002659875,6075.91280199703,6226.48898461562,6315.11527870532,6771.94093597709,7524.97756121552,7828.20660010823,8121.27715688497,8806.39760894338,9192.02833346928,9405.61662239633,9840.06527936784,10142.569109727,9895.0895036482,9645.41376668047,9638.91782892844,9588.60890907548,9096.72890258378,9278.691133596,9191.04275988395,9250.63950773823,9088.98734726424,8798.69905704344,8929.62453849722,9303.71800317986,8010.94498292588,9740.0709476213
Bolivia,2294.72891353634,2446.01566050183,2491.52670796534,2606.57580088191,2732.4421138578,2865.22704633664,2988.5721005623,3132.592372612,3267.2261367183,3267.43222632468,3364.02436571423,3436.37487036006,3514.59137568506,3617.40341020172,3802.81090401932,4025.10904617997,4273.03812270534,4509.2105538811,4794.60369958426,4902.61057678333,5079.38272115006,5363.98790270809,5814.07013496348,6500.87680686824,6920.77886136151,6992.12758144741,7345.82684148722,8244.93344575115,8669.82784866231,8890.46295366602,8110.11475624002,8885.70763881863
Brazil,6617.94470340613,6793.80794114951,6797.15394123758,7183.8958657829,7644.2186022331,8008.05893035068,8208.219592588,8504.68147854479,8503.69788718713,8541.7107251543,8994.74306173275,9202.87648388982,9510.82388258312,9693.55548229648,10407.8393520952,10954.8602631484,11614.4985380566,12522.5159385831,13281.0743858475,13222.7488780015,14254.5197697447,14989.1577837574,14994.3434693981,15535.723765174,15664.8017411414,14692.6323066956,14208.1611051807,14477.8617680601,14971.0546665932,15307.9412354827,14900.104216322,16260.0987486322
Barbados,9648.12021732517,9565.67213186221,9198.0066584691,9462.23351381453,9831.61098987298,10216.8588145289,10797.4655617397,11485.4601787548,12028.6825113515,12214.5542851723,13022.7841493541,12965.9179575109,13217.9874764964,13718.3375860786,14231.9170595508,15203.7568396327,16562.125091808,17298.199568594,17667.4813668559,16814.0829325202,16573.8223594241,16744.3665372665,15739.0416727482,15775.0868595081,15613.2813500083,15978.8418524532,16406.2736925225,16233.7921528506,16449.6285678118,16759.3808435159,14788.3336757337,15304.129280943
Brunei Darussalam,55168.2508834989,57099.0256481043,59512.9401993712,59542.9697581132,61175.5485066134,63693.0916485975,65179.1360653858,63863.7108049069,62830.2712988,64276.500587034,66212.6098228208,68169.5022821683,70522.9035780364,72627.3339025796,73618.9315037168,74921.4136118765,79312.3333137377,80302.2199299065,79040.2883075579,76993.474621141,78784.8272242349,82300.6560453021,86588.6095204115,82305.276253661,80027.9852998551,61572.6217036362,55477.4693975286,60173.0511336013,61084.2580438679,64029.4429997241,65054.1943212652,66347.6580584904
Bhutan,1565.89862558881,1585.93029966178,1764.3470736126,1930.83747791874,2068.040515952,2233.87260478048,2356.87971386124,2483.07010562117,2610.45825470234,2789.27750163155,2866.75203053985,3091.691290103,3395.99311642714,3642.27689413495,3871.06395173199,4197.3026652619,4561.34767578357,5476.79777123722,5780.84517126121,6139.82065993963,6878.60268495998,7498.95552210622,8140.41451013007,8233.16878369864,8949.74096746514,9839.28726903094,10866.38475794,11619.0645094045,12218.5073478581,13061.5902726007,11802.3159251515,12795.351765707
Botswana,5818.04803070159,6280.32724189188,6424.18093613182,6511.94003183992,6703.05224865245,7134.51014140869,7501.41981733789,8076.29333008877,8023.35234959742,8733.83074467691,8922.36997837435,8964.84669172997,9478.56674449649,9937.09704587329,10298.3068912566,10907.367049142,11957.5752435946,12739.302747885,13136.4408705378,11119.806162005,12139.7497346694,12976.5291954634,12069.7185225515,12833.5439166035,14338.5740818842,13420.506600771,15277.0423219562,14656.772988721,15321.5223530076,15758.8428810438,14303.755793249,16449.1388641523
Central African Republic,634.177324496431,632.015969546095,585.952580583949,582.872800890118,605.155294740502,644.367978720642,613.65127454276,639.2801578056,658.470255389713,672.80711761996,652.393760718375,681.360011221161,701.340145279042,660.417846049021,703.37720097409,715.726242711717,757.618328911279,798.836079380152,813.832069367003,870.422304732301,902.781584213177,945.593128485274,1024.24756278492,683.96563252261,670.103823403593,733.749580708051,787.471168424675,839.600009452135,875.193717756484,898.315319932093,895.251477184961,924.91089533575
Canada,20229.7558681625,20224.6873311056,20626.2020585898,21440.0469855991,22632.8340863081,23485.6419280396,24050.1750062174,25258.8605604948,26319.6741635105,27841.3533496575,29362.0841609786,30230.8029655917,30963.0530022941,32349.9436608677,33925.7067319515,36327.2286544972,38119.4131958397,39575.3097484091,40376.3068799056,38865.4134577266,40099.4482394377,41666.7076267956,42290.9654102745,44298.5787342765,45753.7505547994,44670.0805385838,46472.3402486315,48317.1745835151,49992.7622757708,50522.1602400667,48380.6844333467,55634.8275796301
